Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R1,BL1-H,YL1-H,533939,13,41072.231,70.961,70.961,4536,166,3113,122,3214,96,5747.76,338.31,126.73,203.23,2395.88,65.23,76.96,53.47
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R3,FSC-H,SSC-H,444611,13,34200.846,59.089,96.306,10460,997,4760,530,3535,470,19107.82,2126.53,182.67,213.2,3527.11,332.1,74.1,62.66
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R7,FSC-H,SSC-H,461666,13,35512.769,61.356,61.356,10113,993,4560,518,3535,373,18851.85,2183.45,186.41,219.8,3475.21,326.17,76.21,62.97
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R5,BL1-H,YL1-H,211,13,16.231,0.028,0.04,36370,4182,29683,3295,20790,2802,27904.21,3837.39,76.72,91.75,14148.45,1091.19,47.67,33.12
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R1,BL1-H,YL1-H,533939,13,41072.231,70.961,70.961,4536,166,3113,122,3214,96,5747.76,338.31,126.73,203.23,2395.88,65.23,76.96,53.47
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,N/A,All Events,N/A,N/A,146672,5,29334.4,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R1,BL1-H,YL1-H,61933,5,12386.6,42.226,42.226,5153,895,2536,143,2199,108,12482.29,8401.23,242.22,939.15,2250.59,93.4,88.75,65.32
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R1,FSC-H,SSC-H,61933,5,12386.6,42.226,42.226,8948,774,3551,379,2697,168,19661.75,1649.01,219.73,212.95,2658.3,237.22,74.86,62.59
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R1,YL2-H,BL2-H,61933,5,12386.6,42.226,42.226,790,371,244,191,232,157,5982.69,756.22,757.24,203.94,166.05,134.92,68.05,70.64
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R1,YL1-H,,61933,5,12386.6,42.226,42.226,895,N/A,143,N/A,108,N/A,8401.23,N/A,939.15,N/A,93.4,N/A,65.32,N/A
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R7,BL1-H,,51163,5,10232.6,34.883,82.61,4889,N/A,3034,N/A,2199,N/A,5611.98,N/A,114.78,N/A,2157.18,N/A,71.1,N/A
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R1,BL1-H,,61933,5,12386.6,42.226,42.226,5153,N/A,2536,N/A,2199,N/A,12482.29,N/A,242.22,N/A,2250.59,N/A,88.75,N/A
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R1,BL1-H,SSC-H,61933,5,12386.6,42.226,42.226,5153,774,2536,379,2199,168,12482.29,1649.01,242.22,212.95,2250.59,237.22,88.75,62.59
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R2,BL1-H,YL1-H,1789,5,357.8,1.22,2.889,2087,4338,1911,3293,3782,2736,1382.28,3077,66.22,70.93,1718.33,2023.75,89.92,61.46
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,syto+pe-,BL1-H,YL1-H,43150,5,8630,29.419,69.672,4968,186,3102,139,2486,97,8405.9,154.61,169.2,83.2,2054.88,84.51,66.24,60.8
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,syto+pe+,BL1-H,YL1-H,3000,5,600,2.045,4.844,28455,11773,16825,3984,10994,3680,35146.41,29404.99,123.51,249.76,13958.68,3232.07,82.96,81.13
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R1,BL1-H,YL1-H,61933,5,12386.6,42.226,42.226,5153,895,2536,143,2199,108,12482.29,8401.23,242.22,939.15,2250.59,93.4,88.75,65.32
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R3,FSC-H,SSC-H,48518,5,9703.6,33.079,94.83,9099,775,4313,426,3005,309,15454.97,1258.05,169.86,162.33,3115.68,268.35,72.25,62.99
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R7,FSC-H,SSC-H,51163,5,10232.6,34.883,34.883,8678,756,4069,412,3005,309,15189.56,1299.58,175.04,172.01,3073.43,255.01,75.53,61.89
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R5,BL1-H,YL1-H,1023,5,204.6,0.697,1.652,44022,12659,30368,7828,22579,3680,42509.57,13162.83,96.56,103.98,18152.95,6117.21,59.78,78.15
NA,Expt 2,Group,Sample 6.fcs,Sample 6,Experiment,None,,R1,BL1-H,YL1-H,61933,5,12386.6,42.226,42.226,5153,895,2536,143,2199,108,12482.29,8401.23,242.22,939.15,2250.59,93.4,88.75,65.32
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,N/A,All Events,N/A,N/A,444509,10,44450.9,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R1,BL1-H,YL1-H,266924,10,26692.4,60.049,60.049,15359,278,8978,117,11791,93,23664.77,1458.5,154.08,525.47,10622.83,66.72,118.32,57.02
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R1,FSC-H,SSC-H,266924,10,26692.4,60.049,60.049,8058,710,3192,377,2696,233,18921.24,1454.85,234.82,204.89,2170.53,228.32,68,60.56
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R1,YL2-H,BL2-H,266924,10,26692.4,60.049,60.049,339,499,207,271,233,232,949.68,844.04,280.28,169.15,127.5,203.12,61.6,74.95
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R1,YL1-H,,266924,10,26692.4,60.049,60.049,278,N/A,117,N/A,93,N/A,1458.5,N/A,525.47,N/A,66.72,N/A,57.02,N/A
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R7,BL1-H,,203050,10,20305,45.68,76.07,12061,N/A,9966,N/A,11791,N/A,9195.7,N/A,76.25,N/A,7547.18,N/A,75.73,N/A
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R1,BL1-H,,266924,10,26692.4,60.049,60.049,15359,N/A,8978,N/A,11791,N/A,23664.77,N/A,154.08,N/A,10622.83,N/A,118.32,N/A
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R1,BL1-H,SSC-H,266924,10,26692.4,60.049,60.049,15359,710,8978,377,11791,233,23664.77,1454.85,154.08,204.89,10622.83,228.32,118.32,60.56
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R2,BL1-H,YL1-H,464,10,46.4,0.104,0.174,1544,5464,1127,2198,882,797,1250.43,5598.6,80.97,102.46,1060.06,2167.56,94.1,98.62
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,syto+pe-,BL1-H,YL1-H,209577,10,20957.7,47.148,78.516,17341,157,11033,117,11790,92,20907.24,143.86,120.57,91.39,8333.69,65.23,75.53,55.76
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,syto+pe+,BL1-H,YL1-H,6000,10,600,1.35,2.248,71347,5266,50445,2591,64049,1315,66201.12,7969.67,92.79,151.34,47476.56,1776.9,94.12,68.59
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R1,BL1-H,YL1-H,266924,10,26692.4,60.049,60.049,15359,278,8978,117,11791,93,23664.77,1458.5,154.08,525.47,10622.83,66.72,118.32,57.02
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R3,FSC-H,SSC-H,189726,10,18972.6,42.682,93.438,6430,622,3448,397,3004,373,11673.14,946.95,181.53,152.25,2037.09,231.29,59.08,58.26
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R7,FSC-H,SSC-H,203050,10,20305,45.68,45.68,6065,602,3262,383,3004,309,11380.53,947.26,187.63,157.4,2063.78,220.91,63.27,57.68
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R5,BL1-H,YL1-H,2120,10,212,0.477,0.794,56006,9537,36851,8739,21393,10290,51850.01,6234.65,92.58,65.38,26855.82,6751.76,72.88,77.26
NA,Expt 2,Group,Sample 7.fcs,Sample 7,Experiment,None,,R1,BL1-H,YL1-H,266924,10,26692.4,60.049,60.049,15359,278,8978,117,11791,93,23664.77,1458.5,154.08,525.47,10622.83,66.72,118.32,57.02
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,N/A,All Events,N/A,N/A,588642,14,42045.857,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R1,BL1-H,YL1-H,344488,14,24606.286,58.522,58.522,26884,241,16381,130,16097,92,34894.61,1297.61,129.8,537.93,18433.17,75.61,112.53,58.16
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R1,FSC-H,SSC-H,344488,14,24606.286,58.522,58.522,11091,924,5019,469,3171,373,20070.15,1778.19,180.96,192.51,4284.71,330.62,85.37,70.49
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R1,YL2-H,BL2-H,344488,14,24606.286,58.522,58.522,365,802,243,457,232,374,766.63,1198.39,209.76,149.34,157.16,401.78,64.67,87.92
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R1,YL1-H,,344488,14,24606.286,58.522,58.522,241,N/A,130,N/A,92,N/A,1297.61,N/A,537.93,N/A,75.61,N/A,58.16,N/A
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R7,BL1-H,,251838,14,17988.429,42.783,73.105,16376,N/A,14526,N/A,16097,N/A,11302.61,N/A,69.02,N/A,11897.86,N/A,81.91,N/A
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R1,BL1-H,,344488,14,24606.286,58.522,58.522,26884,N/A,16381,N/A,16097,N/A,34894.61,N/A,129.8,N/A,18433.17,N/A,112.53,N/A
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R1,BL1-H,SSC-H,344488,14,24606.286,58.522,58.522,26884,924,16381,469,16097,373,34894.61,1778.19,129.8,192.51,18433.17,330.62,112.53,70.49
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R2,BL1-H,YL1-H,244,14,17.429,0.041,0.071,1462,3560,1144,1865,503,2263,1176.06,5129.91,80.43,144.12,1045.23,1241.68,91.37,66.6
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,syto+pe-,BL1-H,YL1-H,303922,14,21708.714,51.631,88.224,28381,176,18454,132,16097,97,29909.02,150.45,105.38,85.35,16866.06,77.1,91.4,58.41
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,syto+pe+,BL1-H,YL1-H,5050,14,360.714,0.858,1.466,119238,4824,77974,1984,28466,1229,113805.65,9490.44,95.44,196.75,83190.17,925.14,106.69,46.63
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R1,BL1-H,YL1-H,344488,14,24606.286,58.522,58.522,26884,241,16381,130,16097,92,34894.61,1297.61,129.8,537.93,18433.17,75.61,112.53,58.16
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R3,FSC-H,SSC-H,240129,14,17152.071,40.794,95.351,7608,709,4458,438,3582,373,11464.07,1075.95,150.68,151.86,3054.16,269.83,68.51,61.61
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R7,FSC-H,SSC-H,251838,14,17988.429,42.783,42.783,7296,698,4248,427,3582,373,11292.89,1110.59,154.79,159.19,3049.71,262.42,71.79,61.46
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R5,BL1-H,YL1-H,1399,14,99.929,0.238,0.406,50542,10753,34768,7112,21957,2964,48142.81,10287.43,95.25,95.67,17748.2,6478.96,51.05,91.1
NA,Expt 2,Group,Sample 8.fcs,Sample 8,Experiment,None,,R1,BL1-H,YL1-H,344488,14,24606.286,58.522,58.522,26884,241,16381,130,16097,92,34894.61,1297.61,129.8,537.93,18433.17,75.61,112.53,58.16
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,N/A,All Events,N/A,N/A,936558,37,25312.378,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R1,BL1-H,YL1-H,269254,37,7277.135,28.749,28.749,11583,136,3567,103,1446,86,23184.77,437.55,200.17,322.83,4292.13,51.89,120.33,50.38
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R1,FSC-H,SSC-H,269254,37,7277.135,28.749,28.749,11516,952,3625,390,2847,168,23664.21,1954.71,205.5,205.32,2800.63,269.83,77.26,69.19
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R1,YL2-H,BL2-H,269254,37,7277.135,28.749,28.749,258,637,194,278,168,168,356.34,1327.96,138.24,208.62,114.16,222.39,58.85,80
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R1,YL1-H,,269254,37,7277.135,28.749,28.749,136,N/A,103,N/A,86,N/A,437.55,N/A,322.83,N/A,51.89,N/A,50.38,N/A
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R7,BL1-H,,203794,37,5507.946,21.76,75.688,9162,N/A,4923,N/A,1446,N/A,9825.04,N/A,107.24,N/A,5134.24,N/A,104.29,N/A
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R1,BL1-H,,269254,37,7277.135,28.749,28.749,11583,N/A,3567,N/A,1446,N/A,23184.77,N/A,200.17,N/A,4292.13,N/A,120.33,N/A
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R1,BL1-H,SSC-H,269254,37,7277.135,28.749,28.749,11583,952,3567,390,1446,168,23184.77,1954.71,200.17,205.32,4292.13,269.83,120.33,69.19
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R2,BL1-H,YL1-H,73,37,1.973,0.008,0.027,1468,3673,1155,1592,346,1572,1155.79,6041.1,78.75,164.45,849.53,922.18,73.55,57.93
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,syto+pe-,BL1-H,YL1-H,212501,37,5743.27,22.69,78.922,14071,129,5688,103,1796,86,23318.17,111.83,165.72,86.97,6210.61,53.37,109.19,51.82
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,syto+pe+,BL1-H,YL1-H,826,37,22.324,0.088,0.307,112109,3712,67338,1645,134609,1371,110123.75,6469.55,98.23,174.27,74880.94,557.46,111.2,33.9
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R1,BL1-H,YL1-H,269254,37,7277.135,28.749,28.749,11583,136,3567,103,1446,86,23184.77,437.55,200.17,322.83,4292.13,51.89,120.33,50.38
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R3,FSC-H,SSC-H,193702,37,5235.189,20.682,95.048,10796,873,4257,444,2847,373,18151.46,1397.64,168.14,160.07,3095.67,302.45,72.72,68.12
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R7,FSC-H,SSC-H,203794,37,5507.946,21.76,21.76,10305,851,4026,429,2847,326,17831.73,1397.23,173.04,164.14,3051.93,287.62,75.81,67.05
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R5,BL1-H,YL1-H,167,37,4.514,0.018,0.062,41656,10033,33370,7280,23512,2626,28422.96,8638.14,68.23,86.09,14550.24,6511.58,43.6,89.44
NA,Expt 2,Group,Sample 9.fcs,Sample 9,Experiment,None,,R1,BL1-H,YL1-H,269254,37,7277.135,28.749,28.749,11583,136,3567,103,1446,86,23184.77,437.55,200.17,322.83,4292.13,51.89,120.33,50.38
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,N/A,All Events,N/A,N/A,1000371,30,33345.7,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R1,BL1-H,YL1-H,413543,30,13784.767,41.339,41.339,29542,133,22064,112,26927,93,31391.75,210.59,106.26,158.52,23023.29,56.34,104.35,50.3
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R1,FSC-H,SSC-H,413543,30,13784.767,41.339,41.339,11686,764,4715,368,3087,168,21508.03,1490.1,184.05,195.15,3834,234.25,81.32,63.66
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R1,YL2-H,BL2-H,413543,30,13784.767,41.339,41.339,281,978,224,638,233,668,284.54,1435.29,101.43,146.79,131.95,558.94,58.91,87.61
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R1,YL1-H,,413543,30,13784.767,41.339,41.339,133,N/A,112,N/A,93,N/A,210.59,N/A,158.52,N/A,56.34,N/A,50.3,N/A
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R7,BL1-H,,284251,30,9475.033,28.415,68.736,19481,N/A,18873,N/A,26927,N/A,12032.33,N/A,61.76,N/A,14093.6,N/A,74.68,N/A
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R1,BL1-H,,413543,30,13784.767,41.339,41.339,29542,N/A,22064,N/A,26927,N/A,31391.75,N/A,106.26,N/A,23023.29,N/A,104.35,N/A
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R1,BL1-H,SSC-H,413543,30,13784.767,41.339,41.339,29542,764,22064,368,26927,168,31391.75,1490.1,106.26,195.15,23023.29,234.25,104.35,63.66
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R2,BL1-H,YL1-H,17,30,0.567,0.002,0.004,1161,8434,749,1032,143,1032,1154.79,21493.32,99.5,254.84,699.79,415.13,93.43,40.23
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,syto+pe-,BL1-H,YL1-H,370201,30,12340.033,37.006,89.519,32720,135,24859,115,26927,96,30449.42,95.31,93.06,70.86,21051.44,57.82,84.68,50.28
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,syto+pe+,BL1-H,YL1-H,359,30,11.967,0.036,0.087,185109,2025,170945,1441,231258,1215,145164.53,3709.63,78.42,183.2,179333.81,311.35,104.91,21.61
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R1,BL1-H,YL1-H,413543,30,13784.767,41.339,41.339,29542,133,22064,112,26927,93,31391.75,210.59,106.26,158.52,23023.29,56.34,104.35,50.3
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R3,FSC-H,SSC-H,270418,30,9013.933,27.032,95.134,10439,692,4262,359,3730,168,19091.37,1160.03,182.88,167.66,2839.18,212.01,66.62,59.06
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R7,FSC-H,SSC-H,284251,30,9475.033,28.415,28.415,9975,679,4064,350,3440,168,18738.66,1181.68,187.86,174.15,2837.7,204.6,69.83,58.46
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R5,BL1-H,YL1-H,26,30,0.867,0.003,0.006,40575,5553,29671,3127,18489,2869,36078.74,4672.12,88.92,84.14,13856.38,1131.97,46.7,36.2
NA,Expt 2,Group,Sample 10.fcs,Sample 10,Experiment,None,,R1,BL1-H,YL1-H,413543,30,13784.767,41.339,41.339,29542,133,22064,112,26927,93,31391.75,210.59,106.26,158.52,23023.29,56.34,104.35,50.3
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,N/A,All Events,N/A,N/A,216282,4,54070.5,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R1,BL1-H,YL1-H,139213,4,34803.25,64.366,64.366,26859,289,17441,113,15671,92,30256.18,1369.57,112.65,474.59,12731.09,59.3,73,52.48
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R1,FSC-H,SSC-H,139213,4,34803.25,64.366,64.366,8551,622,4161,393,3302,309,15483.53,1116.77,181.07,179.49,3177.21,225.36,76.36,57.34
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R1,YL2-H,BL2-H,139213,4,34803.25,64.366,64.366,368,908,230,503,232,373,778.24,1572.91,211.65,173.24,142.33,375.1,61.88,74.57
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R1,YL1-H,,139213,4,34803.25,64.366,64.366,289,N/A,113,N/A,92,N/A,1369.57,N/A,474.59,N/A,59.3,N/A,52.48,N/A
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R7,BL1-H,,112722,4,28180.5,52.118,80.971,17590,N/A,15443,N/A,15671,N/A,10182.33,N/A,57.89,N/A,8926.73,N/A,57.8,N/A
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R1,BL1-H,,139213,4,34803.25,64.366,64.366,26859,N/A,17441,N/A,15671,N/A,30256.18,N/A,112.65,N/A,12731.09,N/A,73,N/A
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R1,BL1-H,SSC-H,139213,4,34803.25,64.366,64.366,26859,622,17441,393,15671,309,30256.18,1116.77,112.65,179.49,12731.09,225.36,73,57.34
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R2,BL1-H,YL1-H,38,4,9.5,0.018,0.027,2175,6189,1827,5834,1857,3654,1423.94,2323.94,65.46,37.55,1660.51,2077.86,90.91,35.62
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,syto+pe-,BL1-H,YL1-H,132364,4,33091,61.2,95.08,26988,132,17725,112,15671,92,27561.71,96.16,102.13,72.89,12601.36,57.82,71.09,51.63
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,syto+pe+,BL1-H,YL1-H,3000,4,750,1.387,2.155,53955,7374,22114,6958,18214,7044,82290.64,5892.5,152.52,79.91,10960.86,2770.98,49.57,39.83
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R1,BL1-H,YL1-H,139213,4,34803.25,64.366,64.366,26859,289,17441,113,15671,92,30256.18,1369.57,112.65,474.59,12731.09,59.3,73,52.48
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R3,FSC-H,SSC-H,106798,4,26699.5,49.379,94.745,5273,462,3713,366,3302,309,5930.9,467.71,112.47,101.25,2195.73,182.36,59.14,49.83
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R7,FSC-H,SSC-H,112722,4,28180.5,52.118,52.118,5041,454,3554,358,3302,309,5857.05,496.64,116.18,109.49,2225.38,177.91,62.62,49.7
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R5,BL1-H,YL1-H,2157,4,539.25,0.997,1.549,37753,8464,23529,7842,18214,7045,38304.16,3478.76,101.46,41.1,8898.57,2471.49,37.82,31.52
NA,Expt 2,Group,Sample 11.fcs,Sample 11,Experiment,None,,R1,BL1-H,YL1-H,139213,4,34803.25,64.366,64.366,26859,289,17441,113,15671,92,30256.18,1369.57,112.65,474.59,12731.09,59.3,73,52.48
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,N/A,All Events,N/A,N/A,346145,5,69229,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R1,BL1-H,YL1-H,257823,5,51564.6,74.484,74.484,13833,197,9149,115,9626,87,19245.11,682.37,139.13,347.14,8020.87,63.75,87.67,55.44
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R1,FSC-H,SSC-H,257823,5,51564.6,74.484,74.484,8801,715,3410,396,2696,309,19169.07,1310.94,217.79,183.23,2470.01,240.18,72.43,60.65
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R1,YL2-H,BL2-H,257823,5,51564.6,74.484,74.484,326,532,219,277,233,232,506.85,1061.48,155.31,199.52,136.4,201.63,62.28,72.79
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R1,YL1-H,,257823,5,51564.6,74.484,74.484,197,N/A,115,N/A,87,N/A,682.37,N/A,347.14,N/A,63.75,N/A,55.44,N/A
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R7,BL1-H,,221042,5,44208.4,63.858,85.734,12046,N/A,9573,N/A,9626,N/A,9057.55,N/A,75.19,N/A,6661.32,N/A,69.58,N/A
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R1,BL1-H,,257823,5,51564.6,74.484,74.484,13833,N/A,9149,N/A,9626,N/A,19245.11,N/A,139.13,N/A,8020.87,N/A,87.67,N/A
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R1,BL1-H,SSC-H,257823,5,51564.6,74.484,74.484,13833,715,9149,396,9626,309,19245.11,1310.94,139.13,183.23,8020.87,240.18,87.67,60.65
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R2,BL1-H,YL1-H,95,5,19,0.027,0.037,1637,2861,1279,1921,841,938,1326.82,2656.02,81.03,92.82,1236.49,1227.59,96.68,63.9
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,syto+pe-,BL1-H,YL1-H,227073,5,45414.6,65.601,88.073,14666,151,9991,116,9626,92,17043.79,132.13,116.21,87.71,7117.96,63.75,71.24,54.96
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,syto+pe+,BL1-H,YL1-H,3000,5,600,0.867,1.164,70826,4398,55317,2385,50876,1280,54139.13,4501.34,76.44,102.36,32393.33,1598.24,58.56,67.01
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R1,BL1-H,YL1-H,257823,5,51564.6,74.484,74.484,13833,197,9149,115,9626,87,19245.11,682.37,139.13,347.14,8020.87,63.75,87.67,55.44
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R3,FSC-H,SSC-H,206843,5,41368.6,59.756,93.576,7352,633,3673,412,3171,309,12727.03,862.05,173.11,136.24,2395.88,238.7,65.23,57.94
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R7,FSC-H,SSC-H,221042,5,44208.4,63.858,63.858,6934,612,3452,397,3171,309,12414.89,869.42,179.04,142.01,2394.4,226.84,69.36,57.14
NA,Expt 2,Group,Sample 12.fcs,Sample 12,Experiment,None,,R5,BL1-H,YL1-H,1268,5,253.6,0.366,0.492,54143,7690,48863,6226,50850,4675,28467.78,5042.21,52.58,65.57,18472.45,3782.11,37.8,60.75
